lyrics,sentiment,zero_shot,one_shot,few_shot
day window watch pass say youre lucky girl boy like truly dream come true girl world belongs imagination runnin away imagination runnin away soon well married raise family cozy little home country two child maybe three tell visualize couldnt dream real seems every night knee pray dear lord hear plea dont ever let another take love surely die love heavenly arm enfold hear tender rhapsody reality doesnt even know name oh shame imagination runnin away runnin runnin imagination windmill ind would think time imagination didnt even know name oh shame well imagination,Neutral,Positive,Positive,Neutral
survive help stay alive survive help stay alive ragged line ragged grey skeleton shuffle away shouting guard smoking gun cut unlucky one clutch wire fence finger bleed wound heal heart cannot feel hoping horror recede hoping tomorrow well freed sickness insanity prayer profanity day week month go dont feel hunger weak cry hear sound gunfire prison gate liberator hope fear father brother late must help mother stand straight last one left alive human being survive last one left alive human being survive hear sound gunfire prison gate liberator hope fear father brother late must help mother stand straight last one left alive human being survive last one left alive human being survive,Neutral,Positive,Positive,Positive
yeah yeah yes spaghetti junction yes yes elope ski slope cough ahh damn yeah check nigga elope wit ski slope fall like avalanche tootin like cool bein fool cant sit around watch nose membrane flame end loose cant stop rain start fall lookin like m pacman hammer vogue catman im speakin pro cause know nothing bout man nigga big high fly like valujet thinkin beatin end never met nigga black man white man jew man aint joke remember cousin used sit porch talk get older rope yeah kickin nigga door cause aint dope street quarter pound foot weed thats nigga like need talkin southern sess nigga mess never shall test never shall quit runnin fuck shit get nothin dead nigga careful roam cause might make home junction junction dont dare ever get lost cause get caught sauce junction junction player play ya brim hustla chrome ya rim llac pimp mack love corner bend yall yes yes uhh junction junction awell im drankin yak im dippin llac junky around way always smokin crack layin college park hoe flat back livin life pimp steadily makin paper stack nigga dont understand master plan crumble yo herb man til start kickin ready blast dem like kast bout crash mayday may dre knock em as boi struggle like fat hoe get thing people got forgot always gonna keep plot right sleeve wont believe deceive like weave thief cant break crib leave good life gimme im straight eightohfive see blindfold cant cover three eye wise fact attack know heaven good life strivin fo yeah careful roam cause might make home junction junction dont dare ever get lost cause get caught sauce junction junction player play ya brim hustla chrome ya rim llac pimp mack love corner bend yall yes yes uhh junction junction well like flipflops football sock nigga rockin mic like birthday lil jon sercy worthy im callin yo as flawed pimp yappin crew run wit bankhead bouncin dumb shit mo come wit yes bite cannot u come pick little slang cannot see u ought ashamed trying fit adidas run like dmc dont got heater well zippin around corner golden stankin lincoln got heat seat case youngster tryin take pullin pistol another black man never plot sometimes brother lose theyself try take spot well come like black stallion night usually around fo five figure time right good sleep couldnt sleep seen wit eye til come hill surprised careful roam cause might make home junction junction dont dare ever get lost cause get caught sauce junction junction player play ya brim hustla chrome ya rim llac pimp mack love corner bend yall yes yes uhh junction junction,Neutral,Neutral,Positive,Neutral
suffering wound cover im dying watching bleed cant make better face need water there nothing make stronger long pray silence long long pray silence long dont give ive heard say open grave eviscerated misery watched rot inside open grave youre blade rib never let forget fight every breath keep anger ripped slave compassion stitch stitch let happen long pray silence long dont give ive heard say open grave eviscerated misery watched rot inside open grave suffering wound cover im dying watching bleed cant make better ripped slave compassion stitch stitch let happen dont give ive heard say open grave eviscerated misery watched rot inside open grave eviscerated misery watched rot inside open grave,Positive,Negative,Negative,Negative
back back back back gimme 50 foot ima grab gat hit nigga heat back back back back gimme 50 foot dont try gimme dap bitch aint kin back back back back gimme 50 foot cause catch slap keep grillin back back back back gimme 50 foot gimme 50 foot gimme 50 foot hey here little story bout nigga like fuck bad broad live large drive v say im cocky rude might nigga fuck aint got like im bar taking sip long island ice tea wrist looking blue icy im pricey bitch nigga mean mugging starin shiesty dont make pepper spray face lookin spicy cause know nigga hatin want fight thinking im hollywood like spike lee thinking ima steal fuck white catch jaw ima fuck white teeth nigga ready scuffle like dice peat yall walkin outta tussle aint likely hope boy ready rumble im quite deep aint friendly ima tell politely say im type cat pull place hatas like blow job put face buy goochie shoe matching belt lookin great dub sounding cool tell im pushin weight courtier full flake snow storm peak hoe taming nigga keep bitch leash typa cat thatll chase chick week try box nigga hear hit freak playa dont know outta line shit weak fig,Neutral,Negative,Neutral,Neutral
ay que pesado que pesado siempre pensando en el pasado te lo pienses demasiado que la vida esta esperando ay que pesado que pesado siempre pensando en el pasado te lo pienses demasiado que la vida esta esperando cuanto tiempo hare falta para que borres la heridas que te hiciste en el amor cuantas veces te dicho que solo tu tienes la llave que abre cierra el dolor mira que hemos hablado que los recuerdos son mentiras que inundan la razon estribillo hay que esperar milagros porque tampoco los pedias cuando hiciste el amor debiste hacer plane tu decides el futuro cuando se trata de do mira que hemos hablado que los recuerdos son mentiras que inundan la razon estribillo,Neutral,Negative,Positive,Neutral
every there someone whose life like comet flashin across sky men great talent thing tell u seems like soon kind seem die stephen foster one gifted people he earth song turned whole world like people sent mission soon young stephen gone little time little time oh song might wrote tender word pretty note little time another man feel sent mission john f kennedy man loved respected guess everyone suppose guilty takin granted love humanity many fine thing done wanted better world soon great man died gathered around radio afternoon whole world stopped little cried little time little time much little done victory might little time looking back page history greatest influence good ever jesus spite obstacle path look legacy hope gave u look around live teaching bless day birth cant help feel would whole lot better world could spent little time earth little time little time peace earth might really today little time,Negative,Positive,Positive,Negative
doctor woman comin back home late today could maybe give something cause feelin gone must get back right away see ive tryin get feelin around tryin get feelin one made shiver made knee start quiver every time walked ive looked high low everywhere possibly there tryin get feelin seemed disappear fast came run thought id done could keep love light burnin whatever ive done guess havent done good cause thats left yearnin ive tryin get feelin around tryin get feelin one made shiver made knee start quiver every time walked ive looked high low everywhere possibly there tryin get feelin seemed disappear fast came ive lookin ive lookin ive lookin ive tryin get feelin ive ive ive tryin get ive tryin ive tryin ive tryin get feelin ive tryin get feelin wanna get feelin want get feelin got get feelin gotta get feelin tryin get trying get get get tryin get feelin ive tryin get feelin,Negative,Negative,Positive,Positive
gonna live hollywood dream everythings gonna seems gonna find better way run car eighty cause race gonna land mar eighty video screen open door eighty information therell eighty man street finally know score saw kid smile face today place bright future heard say ive lost hope isnt anywhere play play written well cast eighty foot gonna point away past eighty supersonic travel ticket ride well cruise missile think fly saw kid smile face today place bright future heard say ive lost hope isnt anywhere play time go year fly eighty well another slice american pie eighty credit card living push button cash eighty well pay money well take trash eighty another generation talk generation saw kid smile face today place bright future heard say ive lost hope isnt anywhere play saw kid smile face today place bright future heard say saw kid smile face today place bright future heard say,Negative,Positive,Positive,Negative
thought forget little ordinary thing everyone ought im living kind daydream im happy king foolish though may seem thats everything mere idea longing youll never know slow moment go till im near see face every flower eye star thought thought love mere idea longing youll never know slow moment go till im near see face every flower eye star thought thought love,Neutral,Neutral,Negative,Positive
